"","Condition","Agegroup","ET_first","Participant","Gender","Ageindays","Counterbalanced_order","Item_order","DV","In_for_et","Propcorrect","Vocabularycategory","Expressive_vocab_direct_raw","CDIIII_vocab","CDIIII_sentences","CDIIII_usingsentences","Item"
"206","passive","2_years","second","93","female",858,"3","2",0,0,0.67,"vocab_under_median",20,NA,NA,NA,3
"207","passive","2_years","second","93","female",858,"3","3",1,0,0.67,"vocab_under_median",20,NA,NA,NA,4
"208","passive","2_years","second","93","female",858,"3","4",1,0,0.67,"vocab_under_median",20,NA,NA,NA,5
"209","passive","2_years","second","93","female",858,"3","5",0,0,0.67,"vocab_under_median",20,NA,NA,NA,6
"210","passive","2_years","second","93","female",858,"3","6",1,0,0.67,"vocab_under_median",20,NA,NA,NA,1
"211","passive","2_years","second","94","male",796,"1","1",1,0,0.33,"vocab_under_median",20,NA,NA,NA,1
"212","passive","2_years","second","94","male",796,"1","2",1,0,0.33,"vocab_under_median",20,NA,NA,NA,2
"213","passive","2_years","second","94","male",796,"1","3",0,0,0.33,"vocab_under_median",20,NA,NA,NA,3
"214","passive","2_years","second","94","male",796,"1","4",0,0,0.33,"vocab_under_median",20,NA,NA,NA,4
"215","passive","2_years","second","94","male",796,"1","5",0,0,0.33,"vocab_under_median",20,NA,NA,NA,5
"216","passive","2_years","second","94","male",796,"1","6",0,0,0.33,"vocab_under_median",20,NA,NA,NA,6
"217","passive","2_years","second","95","male",766,"1","1",0,0,0.5,"vocab_under_median",19,NA,NA,NA,1
"218","passive","2_years","second","95","male",766,"1","2",0,0,0.5,"vocab_under_median",19,NA,NA,NA,2
"219","passive","2_years","second","95","male",766,"1","3",0,0,0.5,"vocab_under_median",19,NA,NA,NA,3
"220","passive","2_years","second","95","male",766,"1","4",1,0,0.5,"vocab_under_median",19,NA,NA,NA,4
"221","passive","2_years","second","95","male",766,"1","5",1,0,0.5,"vocab_under_median",19,NA,NA,NA,5
"222","passive","2_years","second","95","male",766,"1","6",1,0,0.5,"vocab_under_median",19,NA,NA,NA,6
"223","passive","2_years","first","96","female",841,"2","1",0,1,0.17,"vocab_above_median",26,NA,NA,NA,5
"224","passive","2_years","first","96","female",841,"2","2",1,1,0.17,"vocab_above_median",26,NA,NA,NA,6
"225","passive","2_years","first","96","female",841,"2","3",0,1,0.17,"vocab_above_median",26,NA,NA,NA,1
"226","passive","2_years","first","96","female",841,"2","4",0,1,0.17,"vocab_above_median",26,NA,NA,NA,2
"227","passive","2_years","first","96","female",841,"2","5",0,1,0.17,"vocab_above_median",26,NA,NA,NA,3
"228","passive","2_years","first","96","female",841,"2","6",0,1,0.17,"vocab_above_median",26,NA,NA,NA,4
"229","passive","2_years","first","99","female",835,"3","1",0,1,0.33,"vocab_above_median",26,NA,NA,NA,2
"230","passive","2_years","first","99","female",835,"3","2",0,1,0.33,"vocab_above_median",26,NA,NA,NA,3
"231","passive","2_years","first","99","female",835,"3","3",0,1,0.33,"vocab_above_median",26,NA,NA,NA,4
"232","passive","2_years","first","99","female",835,"3","4",0,1,0.33,"vocab_above_median",26,NA,NA,NA,5
"233","passive","2_years","first","99","female",835,"3","5",1,1,0.33,"vocab_above_median",26,NA,NA,NA,6
"234","passive","2_years","first","99","female",835,"3","6",1,1,0.33,"vocab_above_median",26,NA,NA,NA,1
