Participant,Item,time,T,D,NP,ND,Away,SentenceType,HeadNoun
1,S6,0,1,0,0,0,0,-0.5,0.5
1,S6,0.04,1,0,0,0,0,-0.5,0.5
1,S6,0.08,1,0,0,0,0,-0.5,0.5
1,S6,0.12,1,0,0,0,0,-0.5,0.5
1,S6,0.16,1,0,0,0,0,-0.5,0.5
1,S6,0.2,1,0,0,0,0,-0.5,0.5
1,S6,0.24,1,0,0,0,0,-0.5,0.5
1,S6,0.28,1,0,0,0,0,-0.5,0.5
1,S6,0.32,1,0,0,0,0,-0.5,0.5
1,S6,0.36,1,0,0,0,0,-0.5,0.5
1,S6,0.4,1,0,0,0,0,-0.5,0.5
1,S6,0.44,1,0,0,0,0,-0.5,0.5
1,S6,0.48,1,0,0,0,0,-0.5,0.5
1,S6,0.52,1,0,0,0,0,-0.5,0.5
1,S6,0.56,1,0,0,0,0,-0.5,0.5
1,S6,0.6,1,0,0,0,0,-0.5,0.5
1,S6,0.64,0,0,1,0,0,-0.5,0.5
1,S6,0.68,0,0,1,0,0,-0.5,0.5
1,S6,0.72,0,0,1,0,0,-0.5,0.5
1,S6,0.76,0,0,1,0,0,-0.5,0.5
1,S6,0.8,0,0,1,0,0,-0.5,0.5
1,S6,0.84,0,0,1,0,0,-0.5,0.5
1,S6,0.88,0,0,1,0,0,-0.5,0.5
1,S6,0.92,0,0,1,0,0,-0.5,0.5
1,S6,0.96,0,0,1,0,0,-0.5,0.5
1,S6,1,0,0,1,0,0,-0.5,0.5
1,S6,1.04,0,0,1,0,0,-0.5,0.5
1,S6,1.08,0,0,1,0,0,-0.5,0.5
1,S6,1.12,0,0,1,0,0,-0.5,0.5
1,S6,1.16,0,0,1,0,0,-0.5,0.5
1,S6,1.2,0,0,1,0,0,-0.5,0.5
1,S6,1.24,0,0,0,0,1,-0.5,0.5
1,S6,1.28,1,0,0,0,0,-0.5,0.5
1,S6,1.32,1,0,0,0,0,-0.5,0.5
1,S6,1.36,1,0,0,0,0,-0.5,0.5
1,S6,1.4,1,0,0,0,0,-0.5,0.5
1,S6,1.44,1,0,0,0,0,-0.5,0.5
1,S6,1.48,1,0,0,0,0,-0.5,0.5
1,S6,1.52,1,0,0,0,0,-0.5,0.5
1,S6,1.56,1,0,0,0,0,-0.5,0.5
1,S6,1.6,1,0,0,0,0,-0.5,0.5
1,S6,1.64,1,0,0,0,0,-0.5,0.5
1,S6,1.68,1,0,0,0,0,-0.5,0.5
1,S6,1.72,1,0,0,0,0,-0.5,0.5
1,S6,1.76,1,0,0,0,0,-0.5,0.5
1,S6,1.8,1,0,0,0,0,-0.5,0.5
1,S6,1.84,1,0,0,0,0,-0.5,0.5
1,S6,1.88,1,0,0,0,0,-0.5,0.5
1,S6,1.92,1,0,0,0,0,-0.5,0.5
1,S6,1.96,1,0,0,0,0,-0.5,0.5
1,S6,2,1,0,0,0,0,-0.5,0.5
1,S6,2.04,1,0,0,0,0,-0.5,0.5
1,S6,2.08,1,0,0,0,0,-0.5,0.5
1,S6,2.12,0,0,0,0,1,-0.5,0.5
1,S6,2.16,0,1,0,0,0,-0.5,0.5
1,S6,2.2,0,1,0,0,0,-0.5,0.5
1,S6,2.24,0,1,0,0,0,-0.5,0.5
1,S6,2.28,0,1,0,0,0,-0.5,0.5
1,S6,2.32,0,1,0,0,0,-0.5,0.5
1,S6,2.36,0,1,0,0,0,-0.5,0.5
1,S6,2.4,0,1,0,0,0,-0.5,0.5
1,S7,0,0,0,0,0,1,-0.5,0.5
1,S7,0.04,0,0,0,0,1,-0.5,0.5
1,S7,0.08,0,0,0,0,1,-0.5,0.5
1,S7,0.12,0,0,0,0,1,-0.5,0.5
1,S7,0.16,0,0,0,0,1,-0.5,0.5
1,S7,0.2,0,0,0,0,1,-0.5,0.5
1,S7,0.24,0,0,0,0,1,-0.5,0.5
1,S7,0.28,0,0,0,0,1,-0.5,0.5
1,S7,0.32,0,0,0,0,1,-0.5,0.5
1,S7,0.36,0,0,0,0,1,-0.5,0.5
1,S7,0.4,0,0,0,0,1,-0.5,0.5
1,S7,0.44,0,0,0,0,1,-0.5,0.5
1,S7,0.48,0,0,0,0,1,-0.5,0.5
1,S7,0.52,0,0,0,0,1,-0.5,0.5
1,S7,0.56,0,0,0,0,1,-0.5,0.5
1,S7,0.6,0,0,0,0,1,-0.5,0.5
1,S7,0.64,0,0,0,0,1,-0.5,0.5
1,S7,0.68,0,0,0,0,1,-0.5,0.5
1,S7,0.72,0,0,0,0,1,-0.5,0.5
1,S7,0.76,0,0,0,0,1,-0.5,0.5
1,S7,0.8,0,0,0,0,1,-0.5,0.5
1,S7,0.84,0,0,0,0,1,-0.5,0.5
1,S7,0.88,0,0,0,0,1,-0.5,0.5
1,S7,0.92,0,0,0,0,1,-0.5,0.5
1,S7,0.96,0,0,0,0,1,-0.5,0.5
1,S7,1,0,0,0,0,1,-0.5,0.5
1,S7,1.04,0,0,0,0,1,-0.5,0.5
1,S7,1.08,0,0,0,0,1,-0.5,0.5
1,S7,1.12,0,0,0,0,1,-0.5,0.5
1,S7,1.16,0,0,0,0,1,-0.5,0.5
1,S7,1.2,0,0,0,0,1,-0.5,0.5
1,S7,1.24,0,0,0,0,1,-0.5,0.5
1,S7,1.28,0,0,0,0,1,-0.5,0.5
1,S7,1.32,0,0,0,0,1,-0.5,0.5
1,S7,1.36,0,0,0,0,1,-0.5,0.5
1,S7,1.4,0,0,0,0,1,-0.5,0.5
1,S7,1.44,0,0,0,0,1,-0.5,0.5
1,S7,1.48,0,0,0,0,1,-0.5,0.5
1,S7,1.52,0,0,0,0,1,-0.5,0.5
1,S7,1.56,0,0,0,0,1,-0.5,0.5
1,S7,1.6,0,0,0,1,0,-0.5,0.5
1,S7,1.64,0,0,0,1,0,-0.5,0.5
1,S7,1.68,0,0,0,1,0,-0.5,0.5
1,S7,1.72,0,0,0,1,0,-0.5,0.5
1,S7,1.76,0,0,0,1,0,-0.5,0.5
1,S7,1.8,0,0,0,1,0,-0.5,0.5
1,S7,1.84,0,0,0,0,1,-0.5,0.5
1,S7,1.88,1,0,0,0,0,-0.5,0.5
1,S7,1.92,1,0,0,0,0,-0.5,0.5
1,S7,1.96,1,0,0,0,0,-0.5,0.5
1,S7,2,1,0,0,0,0,-0.5,0.5
1,S7,2.04,1,0,0,0,0,-0.5,0.5
1,S7,2.08,1,0,0,0,0,-0.5,0.5
1,S7,2.12,1,0,0,0,0,-0.5,0.5
1,S7,2.16,1,0,0,0,0,-0.5,0.5
1,S7,2.2,1,0,0,0,0,-0.5,0.5
1,S7,2.24,1,0,0,0,0,-0.5,0.5
1,S7,2.28,1,0,0,0,0,-0.5,0.5
1,S7,2.32,1,0,0,0,0,-0.5,0.5
1,S7,2.36,1,0,0,0,0,-0.5,0.5
1,S7,2.4,1,0,0,0,0,-0.5,0.5
1,S8,0,0,0,1,0,0,-0.5,0.5
1,S8,0.04,0,0,1,0,0,-0.5,0.5
1,S8,0.08,0,0,1,0,0,-0.5,0.5
1,S8,0.12,0,0,1,0,0,-0.5,0.5
1,S8,0.16,0,0,1,0,0,-0.5,0.5
1,S8,0.2,0,0,1,0,0,-0.5,0.5
1,S8,0.24,0,0,1,0,0,-0.5,0.5
1,S8,0.28,0,0,1,0,0,-0.5,0.5
1,S8,0.32,0,0,1,0,0,-0.5,0.5
1,S8,0.36,0,0,1,0,0,-0.5,0.5
1,S8,0.4,0,0,1,0,0,-0.5,0.5
1,S8,0.44,0,0,1,0,0,-0.5,0.5
1,S8,0.48,0,0,1,0,0,-0.5,0.5
1,S8,0.52,0,0,1,0,0,-0.5,0.5
1,S8,0.56,0,0,1,0,0,-0.5,0.5
1,S8,0.6,0,0,1,0,0,-0.5,0.5
1,S8,0.64,0,0,1,0,0,-0.5,0.5
1,S8,0.68,0,0,1,0,0,-0.5,0.5
1,S8,0.72,0,0,1,0,0,-0.5,0.5
1,S8,0.76,0,0,0,0,1,-0.5,0.5
1,S8,0.8,0,0,0,1,0,-0.5,0.5
1,S8,0.84,0,0,0,1,0,-0.5,0.5
1,S8,0.88,0,0,0,1,0,-0.5,0.5
1,S8,0.92,0,0,0,1,0,-0.5,0.5
1,S8,0.96,0,0,0,1,0,-0.5,0.5
1,S8,1,0,0,0,1,0,-0.5,0.5
1,S8,1.04,0,0,0,1,0,-0.5,0.5
1,S8,1.08,0,0,0,1,0,-0.5,0.5
1,S8,1.12,0,0,0,1,0,-0.5,0.5
1,S8,1.16,0,0,0,1,0,-0.5,0.5
1,S8,1.2,0,0,0,1,0,-0.5,0.5
1,S8,1.24,0,0,0,1,0,-0.5,0.5
1,S8,1.28,0,0,0,1,0,-0.5,0.5
1,S8,1.32,0,0,0,1,0,-0.5,0.5
1,S8,1.36,0,0,0,1,0,-0.5,0.5
1,S8,1.4,0,0,0,1,0,-0.5,0.5
1,S8,1.44,0,0,0,1,0,-0.5,0.5
1,S8,1.48,0,0,0,1,0,-0.5,0.5
1,S8,1.52,0,0,0,1,0,-0.5,0.5
1,S8,1.56,1,0,0,0,0,-0.5,0.5
1,S8,1.6,1,0,0,0,0,-0.5,0.5
1,S8,1.64,1,0,0,0,0,-0.5,0.5
1,S8,1.68,1,0,0,0,0,-0.5,0.5
1,S8,1.72,1,0,0,0,0,-0.5,0.5
1,S8,1.76,1,0,0,0,0,-0.5,0.5
1,S8,1.8,1,0,0,0,0,-0.5,0.5
1,S8,1.84,1,0,0,0,0,-0.5,0.5
1,S8,1.88,1,0,0,0,0,-0.5,0.5
